,Farrah,Amber
0,12.5,98.0
1,187.0,238.5
2,63.5,95.5
3,186.0,84.5
4,82.5,43.5
5,191.5,39.5
6,28.0,0.0
7,50.5,100.0
8,86.5,55.0
9,246.5,64.5
10,339.0,259.5
11,157.5,123.5
12,143.5,108.0
13,88.0,0.5
14,650.5,220.0
15,76.5,80.0
16,216.5,68.0
17,130.0,139.0
18,122.5,154.5
19,228.5,688.0
20,177.5,425.0
21,223.0,603.5
22,509.5,612.5
23,458.5,466.5
24,159.5,166.5
25,331.0,107.0
26,575.0,278.5
27,646.5,190.0
28,229.5,4.0
29,293.5,524.0
30,297.5,413.0
31,128.0,373.0
32,114.5,479.0
33,40.0,38.0
34,21.0,41.5
35,27.5,32.5
36,2.0,4.0
37,3.5,8.5
38,7.0,3.5
39,7.5,0.5
40,10.0,2.0
41,3.0,2.0
42,20.0,2.5
